MEA_weight_fraction,temperature,CO2_loading,CO2_pressure,total_pressure
0.3,100,0.424,101,191
0.3,100,0.425,86,176
0.3,110,0.424,138,266
0.3,110,0.424,123,251
0.3,120,0.422,237,415
0.3,120,0.423,192,370
0.3,130,0.419,352,594
0.3,130,0.421,292,535
0.3,140,0.414,613,937
0.3,140,0.417,464,788
0.3,150,0.406,1062,1490
0.3,101,0.475,95,189
0.3,111,0.472,171,303
0.3,121,0.467,283,467
0.3,130,0.461,448,691
0.3,139,0.45,716,1032
0.3,140,0.452,683,1008
0.3,149,0.44,997,1414
0.3,150,0.439,1012,1440
0.3,160,0.424,1427,1984
0.3,161,0.424,1442,2013
0.3,166,0.42,1568,2216
0.3,100,0.388,34,125
0.3,110,0.387,61,190
0.3,120,0.387,62,241
0.3,120,0.385,108,287
0.3,129,0.382,176,412
0.3,131,0.383,153,403
0.3,140,0.378,289,614
0.3,140,0.377,308,633
0.3,150,0.371,463,892
0.3,150,0.369,500,929
0.3,160,0.361,724,1281
0.3,160,0.361,732,1289
0.3,170,0.348,1090,1805
0.3,170,0.35,1051,1766
0.3,100.5,0.315,16,146
0.3,101.1,0.315,12,143
0.3,109,0.314,36,169
0.3,111.3,0.315,22,157
0.3,120.4,0.314,50,189
0.3,121.8,0.314,45,184
0.3,129.9,0.313,77,220
0.3,131.9,0.313,73,217
0.3,141.4,0.311,131,279
0.3,142.3,0.31,145,293
0.3,150.2,0.308,213,366
0.3,152,0.307,236,390
0.3,159,0.303,332,490
0.3,100,0.501,167,258
0.3,120,0.492,387,565
0.3,140,0.477,764,1089
0.3,150,0.467,1008,1437
0.3,160,0.457,1302,1859
0.3,100,0.52,233,324
0.3,120,0.508,512,691
0.3,140,0.489,964,1289
0.3,150,0.478,1259,1688
0.3,160,0.464,1626,2184
0.3,120,0.37,63,241
0.3,140,0.364,217,542
0.3,150,0.358,368,797
0.3,160,0.351,569,1126
