MEA_weight_fraction,temperature,CO2_loading,CO2,MEA,HCO3^-,MEACOO^-,MEAH^+
0.15,20,0.26,,2.13E-02,2.00E-04,1.02E-02,1.00E-02
0.15,20,0.52,,2.30E-03,2.50E-03,1.72E-02,2.04E-02
0.15,20,0.79,2.00E-04,2.00E-04,1.75E-02,1.20E-02,2.77E-02
0.15,20,1.08,9.00E-04,2.00E-04,2.86E-02,7.70E-03,3.21E-02
0.15,40,0.26,,2.08E-02,3.00E-04,9.70E-03,9.10E-03
0.15,40,0.52,,3.40E-03,3.30E-03,1.59E-02,1.87E-02
0.15,40,0.79,4.00E-04,7.00E-04,1.54E-02,1.09E-02,2.46E-02
0.15,40,1.08,1.00E-03,7.00E-04,2.34E-02,7.90E-03,2.88E-02
0.3,20,0.11,,1.02E-01,0.00E+00,1.06E-02,8.10E-03
0.3,20,0.21,,7.32E-02,1.00E-04,2.06E-02,1.78E-02
0.3,20,0.29,,5.56E-02,2.00E-04,3.07E-02,2.36E-02
0.3,20,0.25,,5.91E-02,2.00E-04,2.74E-02,2.45E-02
0.3,20,0.4,,3.31E-02,6.00E-04,4.27E-02,4.47E-02
0.3,20,0.6,,9.00E-04,1.39E-02,5.19E-02,6.32E-02
0.3,20,0.78,5.00E-04,3.00E-04,4.42E-02,3.85E-02,7.49E-02
0.3,20,0.99,1.80E-03,6.00E-04,6.71E-02,2.76E-02,8.26E-02
0.3,40,0.11,,9.85E-02,1.00E-04,1.03E-02,6.50E-03
0.3,40,0.21,,7.15E-02,2.00E-03,1.80E-02,1.60E-02
0.3,40,0.29,,5.63E-02,3.00E-04,2.84E-02,2.25E-02
0.3,40,0.25,,5.59E-02,4.00E-04,2.61E-02,2.18E-02
0.3,40,0.4,,3.76E-02,1.20E-03,4.95E-02,4.73E-02
0.3,40,0.6,,2.80E-03,1.51E-02,4.94E-02,6.10E-02
0.3,40,0.78,9.00E-04,1.20E-03,4.48E-02,3.88E-02,7.43E-02
0.3,40,0.99,3.20E-03,1.40E-03,6.96E-02,3.12E-02,8.43E-02
